,user_id,subscription_type,user_journey
179,307149,Annualy,Pricing-Sign up-Career tracks-Pricing-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Courses-Pricing-Courses-Pricing-Other-Pricing-Courses-Other-Courses-Homepage-Courses-Homepage-Sign up-Courses-Homepage-Courses-Homepage-Courses-Log in-Homepage-Log in-Other-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
180,307546,Annualy,Coupon-Log in-Homepage-Log in-Checkout
181,307602,Monthly,Log in-Other-Log in-Homepage-Log in-Checkout
182,307886,Monthly,Pricing-Homepage-Pricing-Homepage-Pricing-Log in-Checkout
183,307902,Annualy,Log in-Other-Log in-Homepage-Log in-Homepage-Log in-Sign up-Log in-Checkout
184,308007,Annualy,Log in-Homepage-Log in-Homepage-Log in-Checkout-Coupon
185,308457,Annualy,Log in-Other-Log in-Sign up-Log in-Sign up-Other-Log in-Checkout
186,310357,Annualy,Sign up-Other-Sign up-Other-Resource center-Other-Coupon
187,310671,Annualy,Homepage-Log in-Sign up-Homepage-Sign up-Checkout
188,310716,Annualy,Coupon
189,311868,Annualy,Log in-Pricing-Log in-Pricing-Homepage-Pricing-Homepage-Pricing-Coupon
190,311905,Annualy,Log in-Homepage-Log in-Checkout
191,312347,Annualy,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout-Other-Course certificate-Instructors-Course certificate-Other-Course certificate-Resource center-Other-Resource center-Blog-Resource center-Other-About us-Log in-Checkout-Log in-Sign up-Log in-Checkout-Log in-Checkout
192,312454,Monthly,Log in-Homepage-Log in-Pricing-Course certificate-Pricing-Homepage-Course certificate-Courses-Pricing-Courses-Log in-Career tracks-Log in-Career tracks-Courses-Career tracks-Courses-Career tracks-Sign up-Career tracks-Pricing-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
193,312849,Annualy,Log in-Pricing-Log in-Instructors-Pricing-Resource center-Pricing-Resource center-Other-Log in-Pricing-Log in-Homepage-Log in-Pricing-Log in-Checkout-Coupon
194,313048,Monthly,Log in-Homepage-Log in-Checkout
195,314632,Annualy,Log in-Checkout
196,314728,Monthly,Log in-Other-Log in-Checkout
197,315107,Annualy,Log in-Pricing-Log in-Homepage-Pricing-Coupon
198,315306,Annualy,Coupon-Other-Courses-Homepage-Courses-Coupon
199,316287,Annualy,Log in-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Coupon
200,316823,Annualy,Log in-Coupon-Checkout-Coupon
201,316833,Annualy,Coupon
202,316976,Annualy,Coupon
